place_fips,place_name,full_fips,county_name,coverage_percentage
0207070,Big Lake CDP,02170,Matanuska-Susitna Borough,100
0231710,Happy Valley CDP,02122,Kenai Peninsula Borough,100
0232150,Healy CDP,02068,Denali Borough,100
0270930,Slana CDP,02066,Copper River Census Area,100
0277800,Tok CDP,02240,Southeast Fairbanks Census Area,100
0278680,Trapper Creek CDP,02170,Matanuska-Susitna Borough,100
0439100,Kykotsmovi Village CDP,04017,Navajo County,100
2409325,Brandywine CDP,24033,Prince George's County,100
2578410,West Wareham CDP,25023,Plymouth County,100
2719718,Esko CDP,27017,Carlton County,100
2837600,Kiln CDP,28045,Hancock County,100
3670387,Springs CDP,36103,Suffolk County,100
4072775,Tenkiller CDP,40021,Cherokee County,100
4143650,Lookingglass CDP,41019,Douglas County,100
5602877,Antelope Hills CDP,56025,Natrona County,100
0103820,Ballplay CDP,01055,Etowah County,100
0145316,Macedonia CDP,01107,Pickens County,100
0159016,Penton CDP,01017,Chambers County,100
0225550,Fishhook CDP,02170,Matanuska-Susitna Borough,100
0252060,Naknek CDP,02060,Bristol Bay Borough,100
0259540,Pedro Bay CDP,02164,Lake and Peninsula Borough,100
0537930,Lake Hamilton CDP,05051,Garland County,100
0634392,Homestead Valley CDP,06071,San Bernardino County,100
1202187,Asbury Lake CDP,12019,Clay County,100
3424285,Forsgate CDP,34023,Middlesex County,100
3665882,Scotchtown CDP,36071,Orange County,100
3728900,Half Moon CDP,37133,Onslow County,100
4870688,Study Butte CDP,48043,Brewster County,100
5102248,Arcola CDP,51107,Loudoun County,100
5176416,Sudley CDP,51153,Prince William County,100
5337287,Lake Goodwin CDP,53061,Snohomish County,100
5615400,Clearview Acres CDP,56037,Sweetwater County,100
0211690,Central CDP,02290,Yukon-Koyukuk Census Area,100
0245790,McCarthy CDP,02066,Copper River Census Area,100
0401170,Alamo Lake CDP,04012,La Paz County,100
0453910,Peeples Valley CDP,04025,Yavapai County,100
0610508,Campo CDP,06073,San Diego County,100
0612146,Cazadero CDP,06097,Sonoma County,100
0639444,Lake Arrowhead CDP,06071,San Bernardino County,100
0673868,Stallion Springs CDP,06029,Kern County,100
1571550,Urban Honolulu CDP,15003,Honolulu County,100
2245530,Longville CDP,22011,Beauregard Parish,100
2452300,Middle River CDP,24005,Baltimore County,100
3220700,Dyer CDP,32009,Esmeralda County,100
3984140,West Portsmouth CDP,39145,Scioto County,100
4178600,Warm Springs CDP,41031,Jefferson County,100
4274744,Strausstown CDP,42011,Berks County,100
4527970,Gadsden CDP,45079,Richland County,100
4953890,Navajo Mountain CDP,49037,San Juan County,100
5564550,Post Lake CDP,55067,Langlade County,100
0203110,Anchor Point CDP,02122,Kenai Peninsula Borough,100
0227090,Fritz Creek CDP,02122,Kenai Peninsula Borough,100
0238910,Kenny Lake CDP,02066,Copper River Census Area,100
