place_fips,place_name,full_fips,county_name,% difference
4873316,Tomball city,48201,Harris County,100.00
3921000,Dayton city,39113,Montgomery County,100.00
3725300,Fuquay-Varina town,37183,Wake County,100.00
1756887,Oswego village,17093,Kendall County,99.99
1367284,Roswell city,13121,Fulton County,99.99
3771680,Weddington town,37179,Union County,99.99
3742760,Midland town,37025,Cabarrus County,99.99
2970000,Springfield city,29077,Greene County,99.99
3755660,Red Springs town,37155,Robeson County,99.98
1735835,Homer Glen village,17197,Will County,99.98
3925970,Fairfield city,39017,Butler County,99.98
176872,Trinity town,01103,Morgan County,99.98
4722360,Eagleville city,47149,Rutherford County,99.98
2747068,North Mankato city,27103,Nicollet County,99.98
4769420,Smyrna town,47149,Rutherford County,99.97
3776220,Zebulon town,37183,Wake County,99.97
1711163,Carbondale city,17077,Jackson County,99.97
877290,Thornton city,08001,Adams County,99.97
2628360,Flat Rock city,26163,Wayne County,99.96
3957260,Norton city,39153,Summit County,99.96
5116992,Clarksville town,51117,Mecklenburg County,99.94
4060500,Prague city,40081,Lincoln County,99.94
1973335,Sioux City city,19193,Woodbury County,99.93
3705040,Benson town,37101,Johnston County,99.93
4148650,Milwaukie city,41005,Clackamas County,99.93
5535950,Howard village,55009,Brown County,99.93
4555645,Pendleton town,45007,Anderson County,99.92
1764746,Rochelle city,17141,Ogle County,99.92
3722560,Faison town,37061,Duplin County,99.91
2118568,Crittenden city,21081,Grant County,99.91
4521985,Easley city,45077,Pickens County,99.91
4732520,Harriman city,47145,Roane County,99.91
2760016,Shorewood city,27053,Hennepin County,99.91
5553000,Milwaukee city,55079,Milwaukee County,99.90
3745100,Mount Olive town,37191,Wayne County,99.90
2062400,St. Marys city,20149,Pottawatomie County,99.90
1717523,Crete village,17197,Will County,99.89
4865000,San Antonio city,48029,Bexar County,99.89
1821070,Elwood city,18095,Madison County,99.89
5503225,Ashland city,55003,Ashland County,99.88
4817960,Crowley city,48439,Tarrant County,99.88
4777480,Vonore town,47123,Monroe County,99.87
3970534,Sardinia village,39015,Brown County,99.87
1375832,Temple city,13045,Carroll County,99.86
4829000,Garland city,48113,Dallas County,99.84
5551875,Milladore village,55141,Wood County,99.84
5136648,Herndon town,51059,Fairfax County,99.84
168280,Sardis City town,01055,Etowah County,99.84
402830,Apache Junction city,04021,Pinal County,99.83
4725760,Farragut town,47093,Knox County,99.83
5538800,Kaukauna city,55087,Outagamie County,99.82
159640,Piedmont city,01015,Calhoun County,99.80
4845048,Lueders city,48253,Jones County,99.78
2715022,Dayton city,27053,Hennepin County,99.77
4780360,White Pine town,47089,Jefferson County,99.73
4827300,Frankston town,48001,Anderson County,99.72
4827696,Fritch city,48233,Hutchinson County,99.71
2907966,Branson city,29213,Taney County,99.71
1704078,Batavia city,17089,Kane County,99.71
3719000,Durham city,37063,Durham County,99.70
4857176,Pflugerville city,48453,Travis County,99.69
1922890,Dunlap city,19085,Harrison County,99.69
1345460,Lavonia city,13119,Franklin County,99.69
1733877,Hecker village,17133,Monroe County,99.69
3755000,Raleigh city,37183,Wake County,99.69
1953985,Moravia city,19007,Appanoose County,99.68
2183406,Williamstown city,21081,Grant County,99.68
1723620,Elmhurst city,17043,DuPage County,99.68
2117434,Corinth city,21081,Grant County,99.67
4532245,Hardeeville city,45053,Jasper County,99.66
2142292,Kevil city,21007,Ballard County,99.64
4865408,Sanger city,48121,Denton County,99.64
