dest_statefips,dest_countyfips,origin_statefips,origin_countyfips,origin_stateabbr,num_returns,num_individuals,agi,origin_countyname
01,001,01,001,AL,18703,40564,1273371,Autauga County Non-migrants
01,003,01,001,AL,33,68,2350,Autauga County
01,021,01,001,AL,70,145,2637,Autauga County
01,047,01,001,AL,34,76,1186,Autauga County
01,051,01,001,AL,506,1028,24940,Autauga County
01,073,01,001,AL,41,73,1877,Autauga County
01,081,01,001,AL,24,46,1528,Autauga County
01,089,01,001,AL,31,62,1731,Autauga County
01,101,01,001,AL,299,584,12446,Autauga County
01,117,01,001,AL,38,79,2410,Autauga County
48,029,01,001,AL,20,44,1561,Autauga County
51,059,01,001,AL,23,80,3056,Autauga County
01,003,01,003,AL,78899,163060,6136734,Baldwin County Non-migrants
01,015,01,003,AL,26,42,772,Baldwin County
01,039,01,003,AL,24,41,1273,Baldwin County
01,043,01,003,AL,22,37,951,Baldwin County
01,051,01,003,AL,34,73,2609,Baldwin County
01,053,01,003,AL,103,211,4070,Baldwin County
01,055,01,003,AL,20,40,1005,Baldwin County
01,073,01,003,AL,139,226,8672,Baldwin County
01,081,01,003,AL,60,130,5376,Baldwin County
01,089,01,003,AL,78,111,3630,Baldwin County
01,097,01,003,AL,835,1452,51210,Baldwin County
01,099,01,003,AL,20,37,975,Baldwin County
01,101,01,003,AL,33,49,3024,Baldwin County
01,103,01,003,AL,21,39,931,Baldwin County
01,115,01,003,AL,23,42,1237,Baldwin County
01,117,01,003,AL,73,144,5248,Baldwin County
01,125,01,003,AL,43,65,2209,Baldwin County
04,013,01,003,AL,26,46,2276,Baldwin County
12,005,01,003,AL,36,64,2713,Baldwin County
12,011,01,003,AL,22,34,1079,Baldwin County
12,031,01,003,AL,32,52,1921,Baldwin County
12,033,01,003,AL,318,526,25315,Baldwin County
12,057,01,003,AL,22,36,2195,Baldwin County
12,071,01,003,AL,20,37,1511,Baldwin County
12,091,01,003,AL,24,44,1568,Baldwin County
12,095,01,003,AL,20,31,1225,Baldwin County
12,113,01,003,AL,75,142,4933,Baldwin County
13,067,01,003,AL,20,37,861,Baldwin County
13,121,01,003,AL,44,63,2525,Baldwin County
28,047,01,003,AL,47,71,2334,Baldwin County
28,059,01,003,AL,49,79,2104,Baldwin County
47,037,01,003,AL,35,50,1796,Baldwin County
48,201,01,003,AL,35,69,2082,Baldwin County
01,005,01,005,AL,7313,14877,353515,Barbour County Non-migrants
01,045,01,005,AL,33,66,1317,Barbour County
01,067,01,005,AL,46,87,1404,Barbour County
01,069,01,005,AL,47,87,1148,Barbour County
01,081,01,005,AL,28,48,1536,Barbour County
01,101,01,005,AL,22,41,896,Barbour County
01,109,01,005,AL,23,38,803,Barbour County
01,113,01,005,AL,21,48,891,Barbour County
01,007,01,007,AL,6329,13703,376835,Bibb County Non-migrants
01,021,01,007,AL,30,60,1408,Bibb County
01,073,01,007,AL,75,135,3433,Bibb County
01,117,01,007,AL,58,116,2500,Bibb County
01,125,01,007,AL,109,222,5047,Bibb County
01,009,01,009,AL,17963,40584,1099476,Blount County Non-migrants
01,043,01,009,AL,163,315,7643,Blount County
01,055,01,009,AL,73,163,2180,Blount County
01,073,01,009,AL,351,711,18364,Blount County
