origin_statefips,origin_countyfips,dest_statefips,dest_countyfips,dest_stateabbr,dest_countyname,n_returns,n_individuals,adj_grossincome
1,1,1,1,AL,Autauga County Non-migrants,18703,40564,1273371
1,1,1,51,AL,Elmore County,506,1028,24940
1,1,1,101,AL,Montgomery County,299,584,12446
1,1,1,21,AL,Chilton County,70,145,2637
1,1,1,73,AL,Jefferson County,41,73,1877
1,1,1,117,AL,Shelby County,38,79,2410
1,1,1,47,AL,Dallas County,34,76,1186
1,1,1,3,AL,Baldwin County,33,68,2350
1,1,1,89,AL,Madison County,31,62,1731
1,1,1,81,AL,Lee County,24,46,1528
1,1,51,59,VA,Fairfax County,23,80,3056
1,1,48,29,TX,Bexar County,20,44,1561
1,1,57,5,FR,Foreign - APO/FPO ZIPs,20,76,2065
1,3,1,3,AL,Baldwin County Non-migrants,78899,163060,6136734
1,3,1,97,AL,Mobile County,835,1452,51210
1,3,12,33,FL,Escambia County,318,526,25315
1,3,1,73,AL,Jefferson County,139,226,8672
1,3,1,53,AL,Escambia County,103,211,4070
1,3,1,89,AL,Madison County,78,111,3630
1,3,12,113,FL,Santa Rosa County,75,142,4933
1,3,1,117,AL,Shelby County,73,144,5248
1,3,1,81,AL,Lee County,60,130,5376
1,3,28,59,MS,Jackson County,49,79,2104
1,3,28,47,MS,Harrison County,47,71,2334
1,3,13,121,GA,Fulton County,44,63,2525
1,3,1,125,AL,Tuscaloosa County,43,65,2209
1,3,12,5,FL,Bay County,36,64,2713
1,3,47,37,TN,Davidson County,35,50,1796
1,3,48,201,TX,Harris County,35,69,2082
1,3,1,51,AL,Elmore County,34,73,2609
1,3,1,101,AL,Montgomery County,33,49,3024
1,3,12,31,FL,Duval County,32,52,1921
1,3,1,15,AL,Calhoun County,26,42,772
1,3,4,13,AZ,Maricopa County,26,46,2276
1,3,1,39,AL,Covington County,24,41,1273
1,3,12,91,FL,Okaloosa County,24,44,1568
1,3,1,115,AL,St. Clair County,23,42,1237
1,3,1,43,AL,Cullman County,22,37,951
1,3,12,11,FL,Broward County,22,34,1079
1,3,12,57,FL,Hillsborough County,22,36,2195
1,3,1,103,AL,Morgan County,21,39,931
1,3,1,55,AL,Etowah County,20,40,1005
1,3,1,99,AL,Monroe County,20,37,975
1,3,12,71,FL,Lee County,20,37,1511
1,3,12,95,FL,Orange County,20,31,1225
1,3,13,67,GA,Cobb County,20,37,861
1,5,1,5,AL,Barbour County Non-migrants,7313,14877,353515
1,5,1,69,AL,Houston County,47,87,1148
1,5,1,67,AL,Henry County,46,87,1404
1,5,1,45,AL,Dale County,33,66,1317
1,5,1,81,AL,Lee County,28,48,1536
1,5,1,109,AL,Pike County,23,38,803
1,5,1,101,AL,Montgomery County,22,41,896
1,5,1,113,AL,Russell County,21,48,891
1,7,1,7,AL,Bibb County Non-migrants,6329,13703,376835
1,7,1,125,AL,Tuscaloosa County,109,222,5047
1,7,1,73,AL,Jefferson County,75,135,3433
1,7,1,117,AL,Shelby County,58,116,2500
1,7,1,21,AL,Chilton County,30,60,1408
1,9,1,9,AL,Blount County Non-migrants,17963,40584,1099476
1,9,1,73,AL,Jefferson County,351,711,18364
1,9,1,43,AL,Cullman County,163,315,7643
1,9,1,95,AL,Marshall County,95,188,3870
1,9,1,115,AL,St. Clair County,83,176,4993
1,9,1,55,AL,Etowah County,73,163,2180
1,9,1,117,AL,Shelby County,34,59,1697
1,9,1,127,AL,Walker County,31,65,1263
1,11,1,11,AL,Bullock County Non-migrants,3017,6055,118205
1,11,1,101,AL,Montgomery County,48,82,1544
1,11,1,109,AL,Pike County,25,46,751
1,13,1,13,AL,Butler County Non-migrants,6392,13227,308454
1,13,1,101,AL,Montgomery County,62,144,2063
1,13,1,41,AL,Crenshaw County,26,52,850
1,13,1,39,AL,Covington County,23,49,714
1,15,1,15,AL,Calhoun County Non-migrants,37844,77049,2100831
1,15,1,121,AL,Talladega County,394,830,22032
1,15,1,55,AL,Etowah County,229,467,12506
1,15,1,73,AL,Jefferson County,122,185,5135
1,15,1,115,AL,St. Clair County,118,199,5707
1,15,1,89,AL,Madison County,77,119,5022
1,15,1,29,AL,Cleburne County,67,133,2525
1,15,1,117,AL,Shelby County,58,112,3989
1,15,1,19,AL,Cherokee County,53,114,2134
1,15,1,27,AL,Clay County,47,96,2289
1,15,1,3,AL,Baldwin County,41,86,2261
1,15,1,81,AL,Lee County,35,59,1470
1,15,1,111,AL,Randolph County,32,60,1677
1,15,13,45,GA,Carroll County,24,53,1003
1,15,1,125,AL,Tuscaloosa County,23,48,999
1,15,13,67,GA,Cobb County,23,36,1149
1,15,1,49,AL,DeKalb County,22,42,604
1,15,1,97,AL,Mobile County,21,37,829
1,15,13,121,GA,Fulton County,21,34,682
1,15,13,115,GA,Floyd County,20,38,681
1,17,1,17,AL,Chambers County Non-migrants,10530,21090,510776
1,17,1,81,AL,Lee County,249,496,10581
1,17,13,285,GA,Troup County,107,206,3482
1,17,1,111,AL,Randolph County,45,91,1415
1,17,1,123,AL,Tallapoosa County,20,52,1244
1,19,1,19,AL,Cherokee County Non-migrants,7784,16532,425959
1,19,1,55,AL,Etowah County,80,159,3098
1,19,1,49,AL,DeKalb County,68,152,3264
1,19,1,15,AL,Calhoun County,53,98,1556
1,19,13,115,GA,Floyd County,52,95,1915
1,21,1,21,AL,Chilton County Non-migrants,13777,30439,804861
1,21,1,117,AL,Shelby County,227,451,12126
1,21,1,73,AL,Jefferson County,74,122,2573
1,21,1,1,AL,Autauga County,72,174,3368
1,21,1,51,AL,Elmore County,38,72,1589
1,21,1,7,AL,Bibb County,36,86,1248
1,21,1,101,AL,Montgomery County,21,35,865
1,23,1,23,AL,Choctaw County Non-migrants,3964,8263,214219
1,23,1,125,AL,Tuscaloosa County,20,37,816
1,25,1,25,AL,Clarke County Non-migrants,7707,16138,435304
1,25,1,97,AL,Mobile County,78,139,2885
1,25,1,91,AL,Marengo County,30,65,1548
1,25,1,129,AL,Washington County,30,66,1375
1,25,1,131,AL,Wilcox County,30,67,1000
1,25,1,3,AL,Baldwin County,29,61,2434
1,25,1,125,AL,Tuscaloosa County,25,47,786
1,27,1,27,AL,Clay County Non-migrants,4492,9480,264548
1,27,1,121,AL,Talladega County,44,92,1420
1,27,1,15,AL,Calhoun County,35,63,1316
1,27,1,111,AL,Randolph County,32,75,1611
1,27,1,123,AL,Tallapoosa County,27,56,1684
1,29,1,29,AL,Cleburne County Non-migrants,4443,9914,262313
1,29,1,15,AL,Calhoun County,88,180,3552
1,29,13,45,GA,Carroll County,34,71,1377
1,29,1,111,AL,Randolph County,26,65,1261
1,29,13,143,GA,Haralson County,22,48,773
1,31,1,31,AL,Coffee County Non-migrants,16476,36054,1120323
1,31,1,45,AL,Dale County,291,625,11761
1,31,1,69,AL,Houston County,119,235,5968
1,31,1,61,AL,Geneva County,72,135,3356
1,31,1,39,AL,Covington County,71,149,3107
1,31,1,109,AL,Pike County,56,123,2366
1,31,57,5,FR,Foreign - APO/FPO ZIPs,39,91,2994
1,31,48,141,TX,El Paso County,34,71,1894
1,31,47,125,TN,Montgomery County,32,64,2377
1,31,48,27,TX,Bell County,31,64,1806
1,31,1,101,AL,Montgomery County,28,48,1663
1,31,1,81,AL,Lee County,27,48,1509
1,31,8,41,CO,El Paso County,27,41,1379
1,31,1,89,AL,Madison County,26,56,1369
