Inflow,,,,,,,Outflow,,,,,,,,,,
id_FIPS,io_FIPS,io_stateabbr,io_statename,i_nReturns,i_nIndivd,i_agi,oo_stateFIPS,od_stateFIPS,od_stateabbr,od_stateName,o_return,o_individ,o_agi,net_returns,net_individ,net_agi,
48,96,TX,TX Total Migration-US and Foreign,314634,605888,27808737,48,96,TX,TX Total Migration-US and Foreign,230884,428595,16867693,83750,177293,27631444,
48,97,TX,TX Total Migration-US,310132,595736,27539009,48,97,TX,TX Total Migration-US,227290,420870,16637706,82842,174866,27364143,
48,98,TX,TX Total Migration-Foreign,4502,10152,269727,48,98,TX,TX Total Migration-Foreign,3594,7725,229987,908,2427,267300,
48,97,TX,TX Total Migration-Same State,568997,1071890,37887410,48,97,TX,TX Total Migration-Same State,568997,1071890,37887410,,,,
48,48,TX,TX Non-migrants,9954307,21291810,828904579,48,48,TX,TX Non-migrants,9954307,21291810,828904579,,,,
48,06,CA,California,52816,105434,7221838,48,06,CA,California,21103,36092,1591033,,,,
48,12,FL,Florida,20616,36961,1374945,48,12,FL,Florida,20859,37999,1747375,,,,
48,22,LA,Louisiana,16123,31207,818551,48,08,CO,Colorado,13456,23882,1116296,,,,
48,36,NY,New York,13753,23386,1632279,48,40,OK,Oklahoma,11483,22258,696638,,,,
48,08,CO,Colorado,13162,25021,1063832,48,22,LA,Louisiana,9279,17743,509609,,,,
48,17,IL,Illinois,13141,25266,1465260,48,13,GA,Georgia,8812,17249,600637,,,,
48,53,WA,Washington,10829,22960,1169671,48,04,AZ,Arizona,8048,14613,600020,,,,
48,04,AZ,Arizona,9955,19100,808709,48,53,WA,Washington,7916,14131,621325,,,,
48,40,OK,Oklahoma,9908,18582,598942,48,37,NC,North Carolina,7855,15025,642451,,,,
48,13,GA,Georgia,9390,17951,640989,48,51,VA,Virginia,6970,13544,567844,,,,
48,51,VA,Virginia,8926,17803,819967,48,05,AR,Arkansas,6920,13527,437952,,,,
48,35,NM,New Mexico,7859,15667,480077,48,36,NY,New York,6588,10500,491694,,,,
48,37,NC,North Carolina,7682,14854,539315,48,17,IL,Illinois,6562,11337,450036,,,,
48,29,MO,Missouri,6441,12183,512117,48,35,NM,New Mexico,6473,12264,399121,,,,
48,05,AR,Arkansas,6218,11637,338910,48,47,TN,Tennessee,6463,12481,542527,,,,
48,47,TN,Tennessee,6158,11808,402399,48,29,MO,Missouri,5558,10676,359656,,,,
48,39,OH,Ohio,6063,11197,465555,48,39,OH,Ohio,4964,9271,335088,,,,
48,34,NJ,New Jersey,5870,11706,702412,48,42,PA,Pennsylvania,4351,7876,342305,,,,
48,42,PA,Pennsylvania,5790,10623,489255,48,26,MI,Michigan,4254,7855,300234,,,,
48,26,MI,Michigan,5660,10474,458525,48,01,AL,Alabama,3854,7800,266546,,,,
48,32,NV,Nevada,5228,10006,428691,48,57,FR,Foreign,3594,7725,229987,,,,
48,24,MD,Maryland,4843,9157,454323,48,20,KS,Kansas,3590,7188,222280,,,,
48,20,KS,Kansas,4728,9270,316421,48,18,IN,Indiana,3448,6683,202352,,,,
48,28,MS,Mississippi,4716,8999,205344,48,45,SC,South Carolina,3415,6730,263685,,,,
48,57,FR,Foreign,4502,10152,269727,48,32,NV,Nevada,3373,5912,239167,,,,
48,41,OR,Oregon,4410,8776,318171,48,24,MD,Maryland,3315,6172,237797,,,,
48,18,IN,Indiana,4337,7896,270195,48,28,MS,Mississippi,3135,6097,175556,,,,
48,27,MN,Minnesota,4241,8097,376942,48,49,UT,Utah,2924,6253,236937,,,,
48,25,MA,Massachusetts,4104,7025,450565,48,27,MN,Minnesota,2822,5240,200090,,,,
48,01,AL,Alabama,3833,7265,237354,48,41,OR,Oregon,2806,4670,207520,,,,
48,55,WI,Wisconsin,3735,6977,255110,48,34,NJ,New Jersey,2648,4760,228523,,,,
48,49,UT,Utah,3387,7535,249331,48,25,MA,Massachusetts,2601,4290,268880,,,,
48,45,SC,South Carolina,3384,6404,223313,48,55,WI,Wisconsin,2564,4698,181116,,,,
48,19,IA,Iowa,2606,4739,149072,48,21,KY,Kentucky,2509,4996,152294,,,,
48,15,HI,Hawaii,2531,5736,193340,48,19,IA,Iowa,2181,3638,103494,,,,
48,21,KY,Kentucky,2357,4671,146585,48,15,HI,Hawaii,1742,3852,111594,,,,
48,31,NE,Nebraska,2112,4082,158286,48,31,NE,Nebraska,1506,2862,88359,,,,
48,09,CT,Connecticut,2074,3918,230248,48,16,ID,Idaho,1441,3060,106619,,,,
48,16,ID,Idaho,1552,3337,97634,48,02,AK,Alaska,1264,2642,93162,,,,
