"","st_fips","state_name","place_name","year"
"1","4841980","Texas","League City city","2006"
"2","0648648","California","Monrovia city","2006"
"3","0648648","California","Monrovia city","2006"
"4","0648648","California","Monrovia city","2006"
"5","0648648","California","Monrovia city","2006"
"6","0648648","California","Monrovia city","2006"
"7","0648648","California","Monrovia city","2006"
"8","0648648","California","Monrovia city","2006"
"9","0141968","Alabama","Leeds city","2007"
"10","0648648","California","Monrovia city","2007"
"11","0648648","California","Monrovia city","2007"
"12","0648648","California","Monrovia city","2007"
"13","0648648","California","Monrovia city","2007"
"14","0648648","California","Monrovia city","2007"
"15","0648648","California","Monrovia city","2007"
"16","0648648","California","Monrovia city","2007"
"17","0648648","California","Monrovia city","2007"
"18","0648648","California","Monrovia city","2007"
"19","0648648","California","Monrovia city","2007"
"20","0648648","California","Monrovia city","2007"
"21","0648648","California","Monrovia city","2007"
"22","0648648","California","Monrovia city","2007"
"23","0648648","California","Monrovia city","2007"
"24","0648648","California","Monrovia city","2007"
"25","0648648","California","Monrovia city","2007"
"26","0648648","California","Monrovia city","2007"
"27","0648648","California","Monrovia city","2007"
"28","0648648","California","Monrovia city","2007"
"29","0648648","California","Monrovia city","2007"
"30","0648648","California","Monrovia city","2007"
"31","0648648","California","Monrovia city","2007"
"32","0648648","California","Monrovia city","2007"
"33","0648648","California","Monrovia city","2007"
"34","0648648","California","Monrovia city","2007"
"35","0648648","California","Monrovia city","2007"
"36","0648648","California","Monrovia city","2007"
"37","0648648","California","Monrovia city","2007"
"38","0648648","California","Monrovia city","2007"
"39","0648648","California","Monrovia city","2007"
"40","0648648","California","Monrovia city","2007"
"41","0648648","California","Monrovia city","2007"
"42","0648648","California","Monrovia city","2007"
"43","0648648","California","Monrovia city","2007"
"44","0648648","California","Monrovia city","2007"
"45","0648648","California","Monrovia city","2007"
"46","0648648","California","Monrovia city","2007"
"47","0648648","California","Monrovia city","2007"
"48","0648648","California","Monrovia city","2007"
"49","0648648","California","Monrovia city","2007"
"50","0648648","California","Monrovia city","2007"
"51","0648648","California","Monrovia city","2007"
"52","0648648","California","Monrovia city","2007"
"53","0648648","California","Monrovia city","2007"
"54","0648648","California","Monrovia city","2007"
"55","0648648","California","Monrovia city","2007"
"56","0648648","California","Monrovia city","2007"
"57","0648648","California","Monrovia city","2007"
"58","0648648","California","Monrovia city","2007"
"59","0648648","California","Monrovia city","2007"
"60","0648648","California","Monrovia city","2007"
"61","0648648","California","Monrovia city","2007"
"62","0648648","California","Monrovia city","2007"
"63","0820000","Colorado","Denver city","2007"
"64","4841980","Texas","League City city","2007"
"65","4841980","Texas","League City city","2007"
"66","4841980","Texas","League City city","2007"
"67","0675000","California","Stockton city","2008"
"68","0681666","California","Vallejo city","2008"
"69","2770420","Minnesota","Willmar city","2008"
"70","2770420","Minnesota","Willmar city","2008"
"71","3418400","New Jersey","Dumont borough","2008"
"72","3914184","Ohio","Chillicothe city","2008"
"73","3914184","Ohio","Chillicothe city","2008"
"74","3914184","Ohio","Chillicothe city","2008"
"75","3914184","Ohio","Chillicothe city","2008"
"76","3914184","Ohio","Chillicothe city","2008"
"77","4249128","Pennsylvania","Middletown borough","2008"
"78","0458010","Arizona","Quartzsite town","2008"
"79","0600562","California","Alameda city","2008"
"80","0600562","California","Alameda city","2008"
"81","0608058","California","Brawley city","2008"
"82","0608058","California","Brawley city","2008"
"83","0608058","California","Brawley city","2008"
"84","0608058","California","Brawley city","2008"
"85","0608058","California","Brawley city","2008"
"86","0608058","California","Brawley city","2008"
"87","0648648","California","Monrovia city","2008"
"88","0648648","California","Monrovia city","2008"
"89","0648648","California","Monrovia city","2008"
"90","0648648","California","Monrovia city","2008"
"91","0648648","California","Monrovia city","2008"
"92","0648648","California","Monrovia city","2008"
"93","0648648","California","Monrovia city","2008"
"94","0648648","California","Monrovia city","2008"
"95","0648648","California","Monrovia city","2008"
"96","0648648","California","Monrovia city","2008"
"97","0648648","California","Monrovia city","2008"
"98","0648648","California","Monrovia city","2008"
"99","0648648","California","Monrovia city","2008"
"100","0648648","California","Monrovia city","2008"
"101","0648648","California","Monrovia city","2008"
"102","0648648","California","Monrovia city","2008"
"103","0648648","California","Monrovia city","2008"
"104","0648648","California","Monrovia city","2008"
"105","0648648","California","Monrovia city","2008"
"106","0648648","California","Monrovia city","2008"
"107","0648648","California","Monrovia city","2008"
"108","0648648","California","Monrovia city","2008"
"109","0648648","California","Monrovia city","2008"
"110","0648648","California","Monrovia city","2008"
"111","0648648","California","Monrovia city","2008"
"112","1754534","Illinois","Oak Brook village","2008"
"113","4848408","Texas","Milford town","2008"
"114","4848408","Texas","Milford town","2008"
"115","4848408","Texas","Milford town","2008"
"116","4848408","Texas","Milford town","2008"
"117","4848408","Texas","Milford town","2008"
"118","4840472","Texas","Lake City town","2008"
"119","0608058","California","Brawley city","2008"
"120","0622594","California","Emeryville city","2008"
"121","2204685","Louisiana","Bastrop city","2008"
"122","2204685","Louisiana","Bastrop city","2008"
"123","1723620","Illinois","Elmhurst city","2009"
"124","1723620","Illinois","Elmhurst city","2009"
"125","1723620","Illinois","Elmhurst city","2009"
"126","1723620","Illinois","Elmhurst city","2009"
"127","1723620","Illinois","Elmhurst city","2009"
"128","1754534","Illinois","Oak Brook village","2009"
"129","1754534","Illinois","Oak Brook village","2009"
"130","1754534","Illinois","Oak Brook village","2009"
"131","1754534","Illinois","Oak Brook village","2009"
"132","1754534","Illinois","Oak Brook village","2009"
"133","1754534","Illinois","Oak Brook village","2009"
"134","1754534","Illinois","Oak Brook village","2009"
"135","1754534","Illinois","Oak Brook village","2009"
"136","1754534","Illinois","Oak Brook village","2009"
"137","1754534","Illinois","Oak Brook village","2009"
"138","1754534","Illinois","Oak Brook village","2009"
"139","1754534","Illinois","Oak Brook village","2009"
"140","1754534","Illinois","Oak Brook village","2009"
"141","1754534","Illinois","Oak Brook village","2009"
"142","1754534","Illinois","Oak Brook village","2009"
"143","1754534","Illinois","Oak Brook village","2009"
"144","1754534","Illinois","Oak Brook village","2009"
"145","1754534","Illinois","Oak Brook village","2009"
"146","1754534","Illinois","Oak Brook village","2009"
"147","1754534","Illinois","Oak Brook village","2009"
"148","1754534","Illinois","Oak Brook village","2009"
"149","1754534","Illinois","Oak Brook village","2009"
"150","1754534","Illinois","Oak Brook village","2009"
"151","1754534","Illinois","Oak Brook village","2009"
"152","1754534","Illinois","Oak Brook village","2009"
"153","1754534","Illinois","Oak Brook village","2009"
"154","1754534","Illinois","Oak Brook village","2009"
"155","1754534","Illinois","Oak Brook village","2009"
"156","1754534","Illinois","Oak Brook village","2009"
"157","1754534","Illinois","Oak Brook village","2009"
"158","2708794","Minnesota","Burnsville city","2009"
"159","2708794","Minnesota","Burnsville city","2009"
"160","2718116","Minnesota","Eden Prairie city","2009"
"161","2718116","Minnesota","Eden Prairie city","2009"
"162","3629542","New York","Goshen village","2009"
"163","3629542","New York","Goshen village","2009"
"164","3629542","New York","Goshen village","2009"
"165","3629542","New York","Goshen village","2009"
"166","3629542","New York","Goshen village","2009"
"167","3629542","New York","Goshen village","2009"
"168","3914184","Ohio","Chillicothe city","2009"
"169","3914184","Ohio","Chillicothe city","2009"
"170","3914184","Ohio","Chillicothe city","2009"
"171","3914184","Ohio","Chillicothe city","2009"
"172","3914184","Ohio","Chillicothe city","2009"
"173","3914184","Ohio","Chillicothe city","2009"
"174","3914184","Ohio","Chillicothe city","2009"
"175","3914184","Ohio","Chillicothe city","2009"
"176","3914184","Ohio","Chillicothe city","2009"
"177","3914184","Ohio","Chillicothe city","2009"
"178","3914184","Ohio","Chillicothe city","2009"
"179","3914184","Ohio","Chillicothe city","2009"
"180","3914184","Ohio","Chillicothe city","2009"
"181","3914184","Ohio","Chillicothe city","2009"
"182","3914184","Ohio","Chillicothe city","2009"
"183","3914184","Ohio","Chillicothe city","2009"
"184","3914184","Ohio","Chillicothe city","2009"
"185","3914184","Ohio","Chillicothe city","2009"
"186","3914184","Ohio","Chillicothe city","2009"
"187","3914184","Ohio","Chillicothe city","2009"
"188","3914184","Ohio","Chillicothe city","2009"
"189","3914184","Ohio","Chillicothe city","2009"
"190","3914184","Ohio","Chillicothe city","2009"
"191","3914184","Ohio","Chillicothe city","2009"
"192","3914184","Ohio","Chillicothe city","2009"
"193","3914184","Ohio","Chillicothe city","2009"
"194","3914184","Ohio","Chillicothe city","2009"
"195","3914184","Ohio","Chillicothe city","2009"
"196","3914184","Ohio","Chillicothe city","2009"
"197","3914184","Ohio","Chillicothe city","2009"
"198","3914184","Ohio","Chillicothe city","2009"
"199","3914184","Ohio","Chillicothe city","2009"
"200","3914184","Ohio","Chillicothe city","2009"
"201","3914184","Ohio","Chillicothe city","2009"
"202","3914184","Ohio","Chillicothe city","2009"
"203","3914184","Ohio","Chillicothe city","2009"
"204","3914184","Ohio","Chillicothe city","2009"
