"transcript_year","keyword","n_keyword","n_transcripts"
"2010","climate change",2,2
"2010","global warming",1,1
"2011","climate change",19,7
"2011","global warming",3,3
"2012","climate change",55,18
"2012","global warming",36,18
"2013","climate change",88,23
"2013","global warming",22,13
"2014","climate change",157,54
"2014","global warming",38,17
"2015","climate change",158,67
"2015","global warming",23,16
"2016","climate change",188,79
"2016","global warming",47,27
"2017","climate change",594,227
"2017","global warming",63,44
"2018","climate change",793,324
"2018","global warming",117,78
"2019","climate change",1449,557
"2019","global warming",177,125
"2020","climate change",1190,509
"2020","global warming",108,82
"2021","climate change",2093,761
"2021","global warming",146,105
"2022","climate change",1970,756
"2022","global warming",129,102
"2023","climate change",1019,445
"2023","global warming",81,64
