"transcript_year","keyword","n_keyword","n_transcripts"
"2010","drought",32,17
"2010","heat",55,36
"2011","drought",44,28
"2011","heat",121,84
"2011","heat wave",1,1
"2012","drought",70,42
"2012","extreme heat",4,2
"2012","heat",260,156
"2012","heat wave",1,1
"2013","drought",253,72
"2013","extreme heat",4,4
"2013","heat",348,258
"2013","heat wave",4,4
"2014","drought",282,142
"2014","extreme heat",5,5
"2014","heat",434,278
"2014","heat wave",5,3
"2014","heatwave",1,1
"2015","drought",576,194
"2015","extreme heat",5,5
"2015","heat",683,404
"2015","heat wave",3,3
"2016","drought",363,185
"2016","extreme heat",3,3
"2016","heat",724,501
"2016","heat wave",5,4
"2016","heatwave",3,2
"2017","drought",541,288
"2017","extreme heat",12,11
"2017","heat",1386,941
"2017","heat wave",10,9
"2017","heatwave",8,8
"2018","drought",770,383
"2018","extreme heat",18,17
"2018","heat",2305,1450
"2018","heat wave",14,9
"2018","heatwave",13,12
"2019","drought",800,377
"2019","extreme heat",17,17
"2019","heat",2374,1441
"2019","heat wave",13,11
"2019","heatwave",12,11
"2020","drought",939,415
"2020","extreme heat",34,23
"2020","heat",2671,1524
"2020","heat wave",20,18
"2020","heatwave",11,9
"2021","drought",2195,713
"2021","extreme heat",83,58
"2021","heat",3437,1692
"2021","heat wave",90,58
"2021","heatwave",11,10
"2022","drought",2093,704
"2022","extreme heat",78,61
"2022","heat",3929,1747
"2022","heat wave",49,41
"2022","heatwave",10,9
"2023","drought",869,361
"2023","extreme heat",59,43
"2023","heat",2316,1107
"2023","heat wave",29,25
