"docname","from","to","pre","keyword","post","pattern","place_fips","state_name","place_name","meeting_type","transcript_id","transcript_year","transcript_month","transcript_day","stcounty_fips","county_name","state_fips","county_fips"
"text22247",2452,2452,"ask want responders know wanted respond seemed yes reason lost contact appreciate opportunity know florida glory kind looking helping granddaughter","hurricane","issue luckily know damages inflicted key west south florida wanted express condolences personally families lost someone tragic shooting mandalay bay","storms","3251800","Nevada","North Las Vegas city","MUNICIPAL COUNCIL","TCQZQciuDQM","2017","10","04","32003","Clark County","32","003"
"text55846",3007,3007,"people obamacare know market fairly point hard time finding know follow looking find mistakes part said lower people first come","hurricane","little bit higher says probably know risk younger people things know risk know think vulnerable know drive faster know actually","storms","4140700","Oregon","Lakeview town","UNKNOWN","jPYQEhN-L-k","2020","01","07","41037","Lake County","41","037"
"text31809",6525,6525,"experience north carolina finance happy team weeks [ 4 second ] also know hurricane season ramping getting ready spike remember","hurricane","passes mean get hurricane passes prepared know [ 4 second ] evacuation routes staff start preparations season public works department","storms","3765900","North Carolina","Sunset Beach town","MUNICIPAL COUNCIL","xgYsO5Hkoy0","2018","09","04","37019","Brunswick County","37","019"
"text18857",450,450,"sure prepared can possibly hurricane magnitude obviously hurricane magnitude prepare make sure citizens threat possibly suffer also prepared come aftermath","hurricane","make sure delivering services coordinated efficient manner continue throughout week preparedness heightened get closer day impact come mobile degree can","storms","0150000","Alabama","Mobile city","MUNICIPAL COUNCIL","LpLxkt0eDiw","2017","09","05","01097","Mobile County","01","097"
"text77529",3859,3859,"bridge maple swamp new interchange u.s 158 roundabout nc-12 ties nc-12 0.7 miles widening along nc-12 accommodate working right now","hurricane","evacuation clearance time reduction features reduce time travel going north end also improvements us 158 although slide updating area right","storms","3718060","North Carolina","Duck town","MUNICIPAL COUNCIL","FvNwNIRpDZE","2022","02","16","37055","Dare County","37","055"
"text66079",6739,6739,"also far fema know link sent can robo call give residents well make process little bit easier devastation took place","hurricane","ida egregious can look madam clerk vote yes councilman rivera going say things got two minutes vote madame ba know","storms","3457000","New Jersey","Paterson city","MUNICIPAL COUNCIL","Q57w77dOgCk","2021","09","14","34031","Passaic County","34","031"
"text72393",8460,8460,"elevation rise water still 65 billion dollars worth damage estimated hugo made landfall charleston right now damage 20 billion dollars","hurricane","florence meandered coast long time strike charleston caused 75 million dollars worth losses tourism industry going dealing slide left picture","storms","4513330","South Carolina","Charleston city","MUNICIPAL COUNCIL","nMJ5qhdLqbI","2021","10","21","45019","Charleston County","45","019"
"text84832",11951,11951,"right now collecting impact fees fire station sienna hills even list master plan list discussion st george city try done","hurricane","city try know lot growth know southern border well discussion try know cover cost able cover areas two discussions chief","storms","4981960","Utah","Washington city","MUNICIPAL COUNCIL","_dc2sAI8BQE","2023","06","14","49053","Washington County","49","053"
"text33536",2794,2794,". administrator . chairman members council items tonight first briefing update storm status checking little bit ago storm category three","hurricane","now expected continue strengthen already 120 miles hour gusts 150 feel comes ashore tomorrow florida it'll even stronger still category","storms","4538095","South Carolina","Kershaw town","MUNICIPAL COUNCIL","rWKdP2C1XuQ","2018","10","09","45057","Lancaster County","45","057"
"text96484",5613,5613,"six people state new jersey died nine horses johnson park's dude died hurricane isabella 2003 two people hurricane date 2005","hurricane","maria 2005 hurricane bertha 2008 earl 2010 irene 2011 sandy 2012 . hurricanes multiple human beings state died can imagine","storms","3434023","New Jersey","Middlesex County","COUNTY COMMISSION","sliaehqGW9I","2022","02","03","34023","Middlesex County","34","023"
