"transcript_year","keyword","n_keyword","n_transcripts"
"2010","cyclone",6,5
"2010","hurricane",1,1
"2011","cyclone",8,7
"2011","hurricane",88,34
"2011","tropical storm",7,6
"2012","cyclone",11,8
"2012","hurricane",129,68
"2012","tropical storm",11,5
"2013","cyclone",7,7
"2013","hurricane",173,93
"2013","tropical storm",7,6
"2013","typhoon",15,7
"2014","cyclone",21,12
"2014","hurricane",73,50
"2014","tropical storm",2,2
"2014","typhoon",6,6
"2015","cyclone",18,14
"2015","hurricane",127,88
"2015","tropical depression",2,2
"2015","tropical storm",7,5
"2015","typhoon",4,4
"2016","cyclone",11,9
"2016","hurricane",160,94
"2016","tropical storm",3,2
"2016","typhoon",2,2
"2017","cyclone",25,21
"2017","hurricane",1005,448
"2017","tropical depression",1,1
"2017","tropical storm",20,14
"2017","typhoon",6,6
"2018","cyclone",58,42
"2018","hurricane",1395,568
"2018","tropical depression",2,2
"2018","tropical storm",49,33
"2018","typhoon",13,12
"2019","cyclone",36,33
"2019","hurricane",1297,546
"2019","tropical storm",32,24
"2019","typhoon",10,9
"2020","cyclone",74,55
"2020","hurricane",1242,560
"2020","tropical depression",2,2
"2020","tropical storm",99,70
"2020","typhoon",3,3
"2021","cyclone",63,51
"2021","hurricane",1202,578
"2021","tropical depression",2,2
"2021","tropical storm",101,70
"2021","typhoon",8,7
"2022","cyclone",85,71
"2022","hurricane",1214,569
"2022","tropical storm",120,63
"2022","typhoon",8,5
"2023","cyclone",56,46
"2023","hurricane",618,329
"2023","tropical depression",2,2
"2023","tropical storm",111,28
"2023","typhoon",9,7
