"transcript_year","keyword","n_keyword","n_transcripts"
"2010","high wind",2,2
"2010","tornado",5,4
"2010","wind",173,47
"2011","tornado",52,26
"2011","wind",174,114
"2012","high wind",1,1
"2012","tornado",64,39
"2012","wind",311,189
"2013","high wind",2,2
"2013","tornado",184,85
"2013","wind",432,329
"2014","high wind",2,2
"2014","tornado",111,71
"2014","wind",501,330
"2015","high wind",3,3
"2015","tornado",157,85
"2015","wind",748,491
"2016","high wind",6,4
"2016","tornado",136,90
"2016","wind",766,546
"2017","high wind",7,7
"2017","tornado",219,131
"2017","wind",2068,1333
"2018","high wind",25,21
"2018","tornado",338,215
"2018","wind",3203,1802
"2019","high wind",33,27
"2019","tornado",646,286
"2019","wind",3367,1948
"2020","high wind",51,31
"2020","tornado",933,418
"2020","wind",2936,1797
"2021","high wind",34,31
"2021","tornado",657,344
"2021","wind",3063,1872
"2022","high wind",34,29
"2022","tornado",497,284
"2022","wind",3168,1807
"2023","high wind",23,18
"2023","tornado",260,129
"2023","wind",1962,1054
