"state_name","n_places_incounty","state_cy","state_cc","state_propCC","state_dvp","state_rvp","state_pop","state_medage","state_medgrossrent","state_medhhic","state_percHispanic","state_percOther","state_percWhite","state_percBlack","state_fips"
"California",16,266,0,0,54.39,45.61,36637290,37.998275862069,993.155172413793,213669.862068966,27.4724824687527,9.10358632954159,74.1333142432605,3.27274792696315,"06"
"Florida",24,7,0,0,41.3,58.7,18511620,41.444776119403,818.208955223881,106758.865671642,11.8581072993257,1.96764703930162,79.768524260956,14.0577065553105,"12"
"Missouri",18,24,0,0,39.49,60.51,5922314,40.1808695652174,537.634782608696,20434.3913043478,2.21974887127136,1.06108946834611,93.2329838060153,3.34034927897973,"29"
"North Carolina",12,15,0,0,46.07,53.93,9271178,40.095,638.38,36261.79,6.0025145339955,2.50579128720464,71.9952951936089,20.7469121640339,"37"
"South Carolina",38,4,0,0,49.21,50.79,4511428,38.7695652173913,618.130434782609,37869.4347826087,3.75825880646713,1.07840577268679,59.6790771823495,36.430738110414,"45"
"Alabama",23,5,0,0,38.56,61.44,4712651,38.8940298507463,546.268656716418,27182.2388059701,2.73178687991514,1.30516768297741,68.4006066001675,28.3310769636952,"01"
"Arkansas",18,3,1,33.33,38.05,61.95,2872684,39.844,541.173333333333,14895.3866666667,4.16185183005925,1.20430371998002,79.6012414133799,15.9661428354363,"05"
"Illinois",136,80,1,1.25,48.5,51.5,12745359,40.0598039215686,593.794117647059,46764.2254901961,4.03953187762189,1.24400539797037,91.2348167563201,4.78200525575103,"17"
"Indiana",22,4,0,0,44.78,55.22,6417398,38.6945652173913,624.608695652174,26797.847826087,3.19384969257434,0.956607653840332,94.0314116284481,2.49528627650173,"18"
"Michigan",36,2,0,0,51.43,48.57,9952687,41.8614457831325,614.44578313253,46313.2168674699,2.92453795297747,2.26571800291279,91.0974945399766,3.78682449236812,"26"
"Minnesota",34,30,0,0,50.19,49.81,5241914,40.7908045977012,594.816091954023,23976.0574712644,3.37256506329365,3.09666450400869,93.1818710489141,1.21856153575748,"27"
"Mississippi",9,1,0,0,45.47,54.53,2941991,36.6963414634146,565.085365853659,13183.5609756098,1.74552673939493,0.982728282856626,56.8913597230322,40.780224704919,"28"
"New York",60,370,0,0,53.01,46.99,19229752,39.7112903225806,771.725806451613,116221.612903226,6.62166046168191,2.9061117021372,86.5672654430895,6.12451026525337,"36"
"Oregon",28,7,0,0,46.25,53.75,3761925,42.2027777777778,697.722222222222,41646.3055555556,10.1740887311901,3.69209189643548,89.56863145133,0.626383606427333,"41"
"South Dakota",10,1,0,0,44,56,799462,40.4212121212121,472.772727272727,4779.81818181818,1.67338498478246,14.1056515794773,83.4977703767057,0.37988112926606,"46"
"Tennessee",8,2,0,0,35.78,64.22,6234968,40.0284210526316,565.031578947368,25720.7894736842,2.72663958079323,0.838706872275757,89.5982284052417,7.12954496565025,"47"
"Massachusetts",79,45,0,0,66.17,33.83,6477096,40.1428571428571,1024.07142857143,179468,7.1515717451434,3.66987953432484,85.2230267919144,5.52262691065903,"25"
"New Jersey",70,20,0,0,55.84,44.16,8721577,39.2190476190476,1067.14285714286,151241.380952381,14.4617760785941,6.38063177567349,74.0278436816504,12.0317202023115,"34"
