"","transcript_year","state_name","n"
"1","2010","Alabama",5
"2","2010","Arkansas",3
"3","2010","California",266
"4","2010","Colorado",1
"5","2010","Florida",7
"6","2010","Illinois",80
"7","2010","Indiana",4
"8","2010","Massachusetts",45
"9","2010","Michigan",2
"10","2010","Minnesota",30
"11","2010","Mississippi",1
"12","2010","Missouri",24
"13","2010","New Jersey",20
"14","2010","New York",370
"15","2010","North Carolina",15
"16","2010","Ohio",1
"17","2010","Oregon",7
"18","2010","Pennsylvania",38
"19","2010","South Carolina",4
"20","2010","South Dakota",1
"21","2010","Tennessee",2
"22","2010","Texas",38
"23","2010","Virginia",1
"24","2011","Alabama",52
"25","2011","Arizona",5
"26","2011","Arkansas",17
"27","2011","California",304
"28","2011","Colorado",1
"29","2011","Florida",16
"30","2011","Georgia",11
"31","2011","Illinois",75
"32","2011","Indiana",1
"33","2011","Maine",1
"34","2011","Massachusetts",22
"35","2011","Michigan",21
"36","2011","Minnesota",14
"37","2011","Missouri",31
"38","2011","Nebraska",40
"39","2011","Nevada",3
"40","2011","New Hampshire",4
"41","2011","New Jersey",35
"42","2011","New York",73
"43","2011","North Carolina",78
"44","2011","Ohio",45
"45","2011","Oklahoma",8
"46","2011","Oregon",58
"47","2011","Pennsylvania",11
"48","2011","South Carolina",9
"49","2011","Tennessee",22
"50","2011","Texas",85
"51","2011","Virginia",52
"52","2011","Washington",3
"53","2011","West Virginia",2
"54","2011","Wisconsin",1
"55","2012","Alabama",110
"56","2012","Arizona",13
"57","2012","Arkansas",6
"58","2012","California",302
"59","2012","Colorado",42
"60","2012","Florida",15
"61","2012","Georgia",23
"62","2012","Illinois",126
"63","2012","Kentucky",1
"64","2012","Massachusetts",13
"65","2012","Michigan",70
"66","2012","Minnesota",25
"67","2012","Missouri",71
"68","2012","Montana",4
"69","2012","Nebraska",37
"70","2012","Nevada",7
"71","2012","New Hampshire",1
"72","2012","New Jersey",61
"73","2012","New York",53
"74","2012","North Carolina",113
"75","2012","Ohio",127
"76","2012","Oklahoma",44
"77","2012","Oregon",84
"78","2012","Pennsylvania",81
"79","2012","South Carolina",5
"80","2012","South Dakota",55
"81","2012","Tennessee",64
"82","2012","Texas",97
"83","2012","Utah",31
"84","2012","Virginia",52
"85","2012","Washington",71
"86","2012","West Virginia",10
"87","2012","Wisconsin",8
"88","2013","Alabama",194
"89","2013","Arizona",8
"90","2013","Arkansas",5
"91","2013","California",480
"92","2013","Colorado",13
"93","2013","Florida",19
"94","2013","Georgia",28
"95","2013","Illinois",238
"96","2013","Indiana",4
"97","2013","Iowa",39
"98","2013","Kentucky",7
"99","2013","Maine",1
"100","2013","Massachusetts",55
"101","2013","Michigan",144
"102","2013","Minnesota",58
"103","2013","Mississippi",2
"104","2013","Missouri",104
"105","2013","Montana",7
"106","2013","Nebraska",55
"107","2013","Nevada",8
"108","2013","New Hampshire",8
"109","2013","New Jersey",91
"110","2013","New Mexico",4
"111","2013","New York",109
"112","2013","North Carolina",183
"113","2013","Ohio",185
"114","2013","Oklahoma",99
"115","2013","Oregon",91
"116","2013","Pennsylvania",52
"117","2013","Rhode Island",2
"118","2013","South Carolina",13
"119","2013","South Dakota",223
"120","2013","Tennessee",182
"121","2013","Texas",119
"122","2013","Utah",40
"123","2013","Vermont",9
"124","2013","Virginia",82
"125","2013","Washington",86
"126","2013","West Virginia",5
"127","2013","Wisconsin",51
"128","2013","Wyoming",3
"129","2014","Alabama",168
"130","2014","Arizona",21
"131","2014","Arkansas",10
"132","2014","California",921
"133","2014","Colorado",27
"134","2014","Florida",13
"135","2014","Georgia",23
"136","2014","Idaho",7
"137","2014","Illinois",229
"138","2014","Indiana",13
"139","2014","Iowa",16
"140","2014","Kansas",8
"141","2014","Kentucky",13
"142","2014","Louisiana",1
"143","2014","Maine",2
"144","2014","Maryland",1
"145","2014","Massachusetts",40
"146","2014","Michigan",179
"147","2014","Minnesota",149
"148","2014","Mississippi",13
"149","2014","Missouri",110
"150","2014","Montana",3
"151","2014","Nebraska",66
"152","2014","Nevada",1
"153","2014","New Hampshire",17
"154","2014","New Jersey",100
"155","2014","New Mexico",33
"156","2014","New York",89
"157","2014","North Carolina",121
"158","2014","Ohio",253
"159","2014","Oklahoma",64
"160","2014","Oregon",148
"161","2014","Pennsylvania",94
"162","2014","Rhode Island",41
"163","2014","South Carolina",24
"164","2014","South Dakota",190
"165","2014","Tennessee",98
"166","2014","Texas",167
"167","2014","Utah",36
"168","2014","Vermont",7
"169","2014","Virginia",71
"170","2014","Washington",88
"171","2014","West Virginia",2
"172","2014","Wisconsin",48
"173","2014","Wyoming",1
"174","2015","Alabama",198
"175","2015","Arizona",35
"176","2015","Arkansas",34
"177","2015","California",967
"178","2015","Colorado",43
"179","2015","Florida",14
"180","2015","Georgia",17
"181","2015","Idaho",29
"182","2015","Illinois",318
"183","2015","Indiana",8
"184","2015","Iowa",47
"185","2015","Kansas",7
"186","2015","Kentucky",6
"187","2015","Louisiana",1
"188","2015","Maine",32
"189","2015","Maryland",3
"190","2015","Massachusetts",67
"191","2015","Michigan",315
"192","2015","Minnesota",187
"193","2015","Mississippi",3
"194","2015","Missouri",141
"195","2015","Nebraska",95
"196","2015","Nevada",11
"197","2015","New Hampshire",56
"198","2015","New Jersey",136
"199","2015","New Mexico",10
"200","2015","New York",100
"201","2015","North Carolina",154
"202","2015","Ohio",396
"203","2015","Oklahoma",129
"204","2015","Oregon",234
"205","2015","Pennsylvania",58
"206","2015","Rhode Island",20
"207","2015","South Carolina",58
"208","2015","South Dakota",238
"209","2015","Tennessee",107
"210","2015","Texas",327
"211","2015","Utah",80
"212","2015","Vermont",2
"213","2015","Virginia",138
"214","2015","Washington",137
"215","2015","West Virginia",1
"216","2015","Wisconsin",158
"217","2016","Alabama",212
"218","2016","Arizona",55
"219","2016","Arkansas",91
"220","2016","California",820
"221","2016","Colorado",45
"222","2016","Florida",6
"223","2016","Georgia",66
"224","2016","Idaho",39
"225","2016","Illinois",364
"226","2016","Indiana",29
"227","2016","Iowa",39
"228","2016","Kansas",7
"229","2016","Kentucky",12
"230","2016","Louisiana",1
"231","2016","Maine",37
"232","2016","Maryland",7
"233","2016","Massachusetts",110
"234","2016","Michigan",312
"235","2016","Minnesota",243
"236","2016","Mississippi",15
"237","2016","Missouri",224
"238","2016","Montana",9
"239","2016","Nebraska",104
"240","2016","Nevada",8
"241","2016","New Hampshire",87
"242","2016","New Jersey",134
"243","2016","New Mexico",3
"244","2016","New York",123
"245","2016","North Carolina",220
"246","2016","Ohio",589
"247","2016","Oklahoma",189
"248","2016","Oregon",342
"249","2016","Pennsylvania",66
"250","2016","Rhode Island",16
"251","2016","South Carolina",61
"252","2016","South Dakota",230
"253","2016","Tennessee",89
"254","2016","Texas",365
"255","2016","Utah",77
"256","2016","Vermont",18
"257","2016","Virginia",87
"258","2016","Washington",102
"259","2016","Wisconsin",202
"260","2016","Wyoming",31
"261","2017","Alabama",352
"262","2017","Arizona",102
"263","2017","Arkansas",52
"264","2017","California",1044
"265","2017","Colorado",99
"266","2017","Connecticut",25
"267","2017","Florida",39
"268","2017","Georgia",71
"269","2017","Idaho",34
"270","2017","Illinois",485
"271","2017","Indiana",34
"272","2017","Iowa",103
"273","2017","Kansas",32
"274","2017","Kentucky",28
"275","2017","Louisiana",3
"276","2017","Maine",62
"277","2017","Maryland",14
"278","2017","Massachusetts",282
"279","2017","Michigan",442
"280","2017","Minnesota",501
"281","2017","Mississippi",40
"282","2017","Missouri",267
"283","2017","Montana",68
"284","2017","Nebraska",117
"285","2017","Nevada",23
"286","2017","New Hampshire",209
"287","2017","New Jersey",275
"288","2017","New Mexico",44
"289","2017","New York",217
"290","2017","North Carolina",397
"291","2017","North Dakota",3
"292","2017","Ohio",455
"293","2017","Oklahoma",175
"294","2017","Oregon",454
"295","2017","Pennsylvania",160
"296","2017","Rhode Island",28
"297","2017","South Carolina",97
"298","2017","South Dakota",978
"299","2017","Tennessee",130
"300","2017","Texas",304
"301","2017","Utah",137
"302","2017","Vermont",75
"303","2017","Virginia",134
"304","2017","Washington",219
"305","2017","West Virginia",3
"306","2017","Wisconsin",286
"307","2017","Wyoming",44
"308","2018","Alabama",400
"309","2018","Arizona",176
"310","2018","Arkansas",75
"311","2018","California",1299
"312","2018","Colorado",135
"313","2018","Connecticut",57
"314","2018","Florida",73
"315","2018","Georgia",109
"316","2018","Idaho",51
"317","2018","Illinois",622
"318","2018","Indiana",84
"319","2018","Iowa",156
"320","2018","Kansas",43
"321","2018","Kentucky",47
"322","2018","Maine",64
