"","EPISODE_ID","EVENT_ID","BEGIN_YEARMONTH","BEGIN_DAY","END_YEARMONTH","END_DAY","STATE","STATE_FIPS","EVENT_TYPE","CZ_TYPE","CZ_FIPS","CZ_NAME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","FLOOD_CAUSE"
"1",1182771,5430389,200412,29,200412,30,"MONTANA",30,"Heavy Snow","Z",6,"BITTERROOT / SAPPHIRE MOUNTAINS",0,0,0,0,"","",NA
"2",1182771,5430390,200412,29,200412,30,"MONTANA",30,"Heavy Snow","Z",7,"BUTTE / PINTLAR REGION",0,0,0,0,"85K","",NA
"3",1182769,5430387,200412,8,200412,8,"IDAHO",16,"Winter Storm","Z",5,"NORTHERN CLEARWATER MOUNTAINS",0,0,0,0,"","",NA
"4",1182770,5430388,200412,19,200412,19,"MONTANA",30,"High Wind","Z",5,"MISSOULA / BITTERROOT VALLEYS",0,0,0,0,"","",NA
"5",1182772,5430391,200412,14,200412,14,"MONTANA",30,"Winter Weather","Z",1,"KOOTENAI/CABINET REGION",0,0,0,0,"","",NA
"6",1183013,5430322,200412,21,200412,21,"MICHIGAN",26,"Winter Storm","Z",19,"CHARLEVOIX",0,0,0,0,"","",NA
"7",1183013,5430323,200412,21,200412,21,"MICHIGAN",26,"Winter Storm","Z",16,"EMMET",0,0,0,0,"","",NA
"8",1182925,5430420,200412,26,200412,27,"MASSACHUSETTS",25,"Winter Storm","Z",20,"SOUTHERN BRISTOL",0,0,0,0,"","",NA
"9",1182925,5430421,200412,26,200412,27,"MASSACHUSETTS",25,"Winter Storm","Z",21,"SOUTHERN PLYMOUTH",0,0,0,0,"","",NA
"10",1182849,5430278,200412,11,200412,11,"DELAWARE",10,"Storm Surge/Tide","Z",2,"KENT",0,0,0,0,"","0",NA
"11",1182850,5430279,200412,11,200412,11,"NEW JERSEY",34,"Storm Surge/Tide","Z",21,"CUMBERLAND",0,0,0,0,"","0",NA
"12",1183003,5430197,200412,29,200412,31,"MINNESOTA",27,"Winter Storm","Z",1,"WEST POLK",0,0,0,0,"","",NA
"13",1182853,5430290,200412,6,200412,7,"IDAHO",16,"Heavy Snow","Z",19,"UPPER SNAKE HIGHLANDS",0,0,0,0,"","",NA
"14",1183003,5430196,200412,29,200412,31,"MINNESOTA",27,"Winter Storm","Z",15,"EAST POLK",0,0,0,0,"","",NA
"15",1182987,5430439,200412,7,200412,7,"ALABAMA",1,"Thunderstorm Wind","C",63,"GREENE",0,0,0,0,"1K","",NA
"16",1182768,5430380,200412,7,200412,8,"MONTANA",30,"Winter Storm","Z",4,"LOWER CLARK FORK REGION",0,0,0,0,"","",NA
"17",1182768,5430381,200412,7,200412,8,"MONTANA",30,"Winter Storm","Z",1,"KOOTENAI/CABINET REGION",0,0,0,0,"","",NA
"18",1182768,5430382,200412,7,200412,8,"MONTANA",30,"Winter Storm","Z",2,"WEST GLACIER REGION",0,0,0,0,"","",NA
"19",1182768,5430383,200412,7,200412,8,"MONTANA",30,"Winter Storm","Z",43,"BLACKFOOT REGION",0,0,0,0,"","",NA
"20",1183422,5432496,200402,3,200402,3,"NEVADA",32,"Heavy Snow","Z",36,"N LANDER & N EUREKA",0,0,0,0,"","",NA
"21",1183422,5432497,200402,3,200402,3,"NEVADA",32,"Heavy Snow","Z",35,"WHITE PINE",0,0,0,0,"","",NA
"22",1183423,5432498,200402,7,200402,7,"NEVADA",32,"Heavy Snow","Z",34,"RUBY MOUNTAINS/E HUMBOLDT RANGE",0,0,0,0,"","",NA
"23",1183423,5432499,200402,7,200402,7,"NEVADA",32,"Heavy Snow","Z",32,"SW & SC ELKO",0,0,0,0,"","",NA
"24",1183423,5432500,200402,7,200402,7,"NEVADA",32,"Heavy Snow","Z",36,"N LANDER & N EUREKA",0,0,0,0,"","",NA
"25",1182769,5430384,200412,8,200412,8,"IDAHO",16,"Winter Storm","Z",8,"LOWER HELLS CANYON / SALMON RIVER REGION",0,0,0,0,"","",NA
"26",1182769,5430385,200412,8,200412,8,"IDAHO",16,"Winter Storm","Z",7,"OROFINO / GRANGEVILLE REGION",0,0,0,0,"","",NA
"27",1182769,5430386,200412,8,200412,8,"IDAHO",16,"Winter Storm","Z",6,"SOUTHERN CLEARWATER MOUNTAINS",0,0,0,0,"","",NA
"28",1182649,5430215,200412,30,200412,30,"MINNESOTA",27,"Ice Storm","Z",12,"NORTHERN COOK / NORTHERN LAKE",0,0,0,0,"","",NA
