"","place_name","state_name","c"
"1","Aiken city","South Carolina",3
"2","Akron city","Ohio",8
"3","Alameda city","California",2
"4","Alamosa city","Colorado",4
"5","Albany city","California",210
"6","Albany city","Oregon",10
"7","Albion city","Michigan",4
"8","Albuquerque city","New Mexico",32
"9","Amherst town","Massachusetts",48
"10","Andalusia city","Alabama",1
"11","Anderson city","South Carolina",1
"12","Angels city","California",4
"13","Antioch city","California",1
"14","Apache Junction city","Arizona",2
"15","Asbury Park city","New Jersey",32
"16","Athens city","Ohio",1
"17","Atherton town","California",18
"18","Atwater city","California",2
"19","Auburn city","Alabama",2
"20","Auburn city","Maine",15
"21","Auburn city","New York",3
"22","Auburn city","Washington",16
"23","Ballinger city","Texas",1
"24","Bartlesville city","Oklahoma",4
"25","Bartlett village","Illinois",8
"26","Basalt town","Colorado",26
"27","Batavia city","Illinois",34
"28","Beatrice city","Nebraska",1
"29","Beaumont city","California",9
"30","Beavercreek city","Ohio",2
"31","Bellevue city","Nebraska",14
"32","Bellflower city","California",2
"33","Belmar borough","New Jersey",16
"34","Beloit city","Wisconsin",12
"35","Bethany city","Oklahoma",1
"36","Bloomingdale borough","New Jersey",8
"37","Blue Springs city","Missouri",1
"38","Boston city","Massachusetts",38
"39","Bothell city","Washington",124
"40","Boulder city","Colorado",5
"41","Bridgeton city","Missouri",2
"42","Brisbane city","California",26
"43","Bristol city","Tennessee",2
"44","Brockton city","Massachusetts",8
"45","Brookfield town","New Hampshire",1
"46","Buncombe County","North Carolina",24
"47","Burbank city","California",19
"48","Burlington city","North Carolina",4
"49","Burlington city","Vermont",83
"50","Calaveras County","California",7
"51","California City city","California",12
"52","Calistoga city","California",2
"53","Callicoon town","New York",3
"54","Canyon Lake city","California",5
"55","Cape Girardeau city","Missouri",2
"56","Carlinville city","Illinois",1
"57","Carroll County","Mississippi",9
"58","Carroll County","New Hampshire",1
"59","Carver town","Massachusetts",2
"60","Casco township","Michigan",1
"61","Cass County","Michigan",2
"62","Castle Hills city","Texas",3
"63","Cedar City city","Utah",1
"64","Central Falls city","Rhode Island",2
"65","Ceres city","California",2
"66","Chandler city","Arizona",1
"67","Charleston city","South Carolina",2
"68","Charlotte city","North Carolina",40
"69","Chaska city","Minnesota",6
"70","Chicago city","Illinois",14
"71","Chico city","California",8
"72","Chilo village","Ohio",2
"73","Chittenden County","Vermont",3
"74","Clearlake city","California",1
"75","Cloverdale city","California",18
"76","College Place city","Washington",4
"77","Columbus city","Ohio",66
"78","Commerce City city","Colorado",2
"79","Conway town","Massachusetts",25
"80","Cookeville city","Tennessee",1
"81","Corcoran city","Minnesota",2
"82","Cottonwood city","Arizona",4
"83","Dallas city","Texas",2
"84","Danbury city","Connecticut",4
"85","Danville city","Virginia",4
"86","Dare County","North Carolina",16
"87","Darien city","Illinois",2
"88","Dayton city","Kentucky",2
"89","Dearborn city","Michigan",4
"90","Deerfield town","Massachusetts",48
